"Region","Year","Age Range","Illicit Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.62"
"Connecticut","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.667232142857143"
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.22"
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.407053571428571"
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.55"
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.499375"
"Connecticut","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","6.01"
"Connecticut","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.16241071428571"
"Connecticut","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.56"
"Connecticut","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.667232142857143"
"Connecticut","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.65"
"Connecticut","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.5875"
"Connecticut","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","4.48"
"Connecticut","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.801517857142857"
"Connecticut","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","9.87"
"Connecticut","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.29669642857143"
"Connecticut","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.17"
"Connecticut","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.767946428571428"
"Connecticut","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","6.66"
"Connecticut","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.263125"
"Connecticut","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","9.59"
"Connecticut","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.55267857142857"
"Connecticut","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","23.11"
"Connecticut","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.47169642857143"
"Connecticut","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","7.72"
"Connecticut","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.37223214285714"
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.91"
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.419642857142857"
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.64"
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.490982142857143"
"Connecticut","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","8.24"
"Connecticut","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.028125"
"Connecticut","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.20"
"Connecticut","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.663035714285714"
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.17"
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.390267857142857"
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.56"
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.453214285714286"
"Connecticut","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","5.91"
"Connecticut","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.04491071428571"
"Connecticut","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.49"
"Connecticut","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.667232142857143"
"Connecticut","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.55"
"Connecticut","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.633660714285714"
"Connecticut","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","4.39"
"Connecticut","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.889642857142857"
"Connecticut","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.72"
"Connecticut","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.51910714285714"
"Connecticut","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.38"
"Connecticut","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.793125"
"Connecticut","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","5.80"
"Connecticut","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.16660714285714"
"Connecticut","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","8.75"
"Connecticut","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.42678571428571"
"Connecticut","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","24.71"
"Connecticut","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.50107142857143"
"Connecticut","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","8.28"
"Connecticut","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.46875"
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.91"
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.449017857142857"
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.72"
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.553928571428571"
"Connecticut","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","9.22"
"Connecticut","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.21696428571429"
"Connecticut","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.56"
"Connecticut","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.780535714285714"
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.29"
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.419642857142857"
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.75"
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.537142857142857"
"Connecticut","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","6.72"
"Connecticut","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.27571428571429"
"Connecticut","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.80"
"Connecticut","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.830892857142857"
"Connecticut","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.31"
"Connecticut","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.558125"
"Connecticut","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","4.77"
"Connecticut","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.948392857142857"
"Connecticut","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.83"
"Connecticut","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.56107142857143"
"Connecticut","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.53"
"Connecticut","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.809910714285714"
"Connecticut","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","6.14"
"Connecticut","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.27151785714286"
"Connecticut","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","8.39"
"Connecticut","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.51071428571429"
"Connecticut","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","25.84"
"Connecticut","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.48008928571429"
"Connecticut","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","7.89"
"Connecticut","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.35125"
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.03"
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.415446428571428"
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.71"
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.516160714285714"
"Connecticut","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","9.85"
"Connecticut","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.27151785714286"
"Connecticut","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.37"
"Connecticut","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.696607142857143"
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.39"
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.402857142857143"
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.82"
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.511964285714286"
"Connecticut","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","7.36"
"Connecticut","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.33026785714286"
"Connecticut","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.66"
"Connecticut","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.713392857142857"
"Connecticut","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.81438995"
"Connecticut","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.483217373571429"
"Connecticut","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","3.41020481"
"Connecticut","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.823678533392857"
"Connecticut","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","9.89014012"
"Connecticut","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.51207187651786"
"Connecticut","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.63735643"
"Connecticut","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.773421303303572"
"Connecticut","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","6.9769343"
"Connecticut","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.47167902741071"
"Connecticut","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","9.12771691"
"Connecticut","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.62975255794643"
"Connecticut","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","25.7363393"
"Connecticut","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.54769765267857"
"Connecticut","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","6.87766308"
"Connecticut","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.233348061875"
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.07800785"
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.386826634642857"
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.74529931"
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.494271836517857"
"Connecticut","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.43501896"
"Connecticut","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.194443576875"
"Connecticut","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.94772001"
"Connecticut","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.604609002946428"
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.29742003"
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.354263809285714"
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.72835364"
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.466824159642857"
"Connecticut","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","7.99620142"
"Connecticut","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.22488385285714"
"Connecticut","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.32073398"
"Connecticut","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.652922577410714"
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","3.25"
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.38901785714286"
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","5.88"
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","2.05625"
"Eastern Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","11.12"
"Eastern Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","3.05080357142857"
"Eastern Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","5.58"
"Eastern Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.88419642857143"
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","*"
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","*"
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","*"
"Eastern Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","*"
"Eastern Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.52"
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.889642857142857"
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","3.24"
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.977767857142857"
"Eastern Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.15"
"Eastern Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.33741071428571"
"Eastern Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.4"
"Eastern Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.37223214285714"
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.25"
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.64625"
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.52"
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.776339285714286"
"Eastern Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","6.41"
"Eastern Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.26607142857143"
"Eastern Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.71"
"Eastern Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.21276785714286"
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.64"
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.902232142857143"
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","4.50"
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.36383928571429"
"Eastern Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.77"
"Eastern Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.63955357142857"
"Eastern Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.64"
"Eastern Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.321875"
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","5.92"
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","2.32901785714286"
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","8.98"
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","3.00044642857143"
"Eastern Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","*"
"Eastern Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","8.44"
"Eastern Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","2.54723214285714"
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.96"
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.76375"
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.78"
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.99875"
"Eastern Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.32"
"Eastern Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.34580357142857"
"Eastern Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","3.54"
"Eastern Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.09526785714286"
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.14"
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.604285714285714"
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","1.49"
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.772142857142857"
"Eastern Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","7.22"
"Eastern Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.21991071428571"
"Eastern Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","2.52"
"Eastern Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.03232142857143"
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.44"
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.22535714285714"
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","4.20"
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.59883928571429"
"Eastern Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.98"
"Eastern Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.849375"
"Eastern Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.37"
"Eastern Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.30928571428571"
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","4.96"
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.71214285714286"
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","7.62"
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","2.29544642857143"
"Eastern Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","*"
"Eastern Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","7.96"
"Eastern Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","2.379375"
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","1.84"
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.696607142857143"
